turns,balance,speed,y,shield
2,15000,0,0,0
3,13266,3,3,0
4,13266,1,4,0
5,13266,1,5,0
6,13266,1,6,0
7,11663,4,10,0
8,11514,7,17,0
9,11514,7,24,0
10,11514,1,25,0
11,11240,4,29,0
12,11240,4,33,0
13,11240,4,37,0
14,5815,7,44,0
15,5815,7,51,0
16,5815,1,52,0
17,2317,4,56,0
18,2317,4,60,0
19,2317,4,64,0
20,2317,4,68,0
21,1706,7,75,0
22,1706,7,82,0
23,1706,7,89,0
24,1706,7,96,0
25,514,10,106,0
26,514,10,116,0
27,514,10,126,0
28,414,10,136,1
29,414,10,146,0
30,314,10,156,1
31,314,1,157,0
32,314,1,158,0
33,214,1,159,1
34,214,1,160,0
35,114,1,161,1
36,114,1,162,0
37,114,1,163,0
38,14,1,164,1
39,14,1,165,0
40,14,1,166,0
41,14,1,167,0
42,14,1,168,0
43,14,1,169,0
44,14,1,170,0
45,14,1,171,0
46,9,1,172,0
47,9,1,173,0
48,9,1,174,0
49,9,1,175,0
50,9,1,176,0
51,4,1,177,0
52,4,1,178,0
53,4,1,179,0
54,4,1,180,0
55,4,1,181,0
56,4,1,182,0
57,1,1,183,0
58,1,1,184,0
59,1,1,185,0
60,1,1,186,0
61,1,1,187,0
62,1,1,188,0
63,1,1,189,0
64,1,1,190,0
65,1,1,191,0
66,1,1,192,0
67,1,4,196,0
68,1,4,200,0
69,1,4,204,0
70,1,4,208,0
71,1,4,212,0
72,1,4,216,0
73,1,4,220,0
74,1,4,224,0
75,1,4,228,0
76,1,4,232,0
77,1,4,236,0
78,1,4,240,0
79,1,7,247,0
80,1,10,257,0
81,1,10,267,0
82,1,10,277,0
83,1,13,290,0
84,1,13,303,0
85,1,1,304,0
86,1,1,305,0
87,1,1,306,0
88,1,1,307,0
89,1,1,308,0
90,1,1,309,0
91,1,1,310,0
92,1,4,314,0
93,1,4,318,0
94,1,4,322,0
95,1,7,329,0
96,1,1,330,0
97,1,1,331,0
98,1,1,332,0
99,1,1,333,0
100,1,1,334,0
101,1,4,338,0
102,1,4,342,0
103,1,4,346,0
104,1,1,347,0
105,1,1,348,0
106,1,1,349,0
107,1,4,353,0
108,1,4,357,0
109,1,1,358,0
110,1,1,359,0
111,1,1,360,0
112,1,1,361,0
113,1,1,362,0
114,1,1,363,0
115,1,1,364,0
116,1,1,365,0
117,1,1,366,0
118,1,4,370,0
119,1,4,374,0
120,1,4,378,0
121,1,4,382,0
122,1,4,386,0
123,1,4,390,0
124,1,7,397,0
125,1,1,398,0
126,1,1,399,0
127,1,1,400,0
128,1,1,401,0
129,1,1,402,0
130,1,1,403,0
131,1,4,407,0
132,1,4,411,0
133,1,4,415,0
134,1,4,419,0
135,1,4,423,0
136,1,7,430,0
137,1,1,431,0
138,1,1,432,0
139,1,1,433,0
140,1,1,434,0
141,1,1,435,0
142,1,1,436,0
143,1,1,437,0
144,1,1,438,0
145,1,1,439,0
146,1,4,443,0
147,1,4,447,0
148,1,4,451,0
149,1,7,458,0
150,1,7,465,0
151,1,1,466,0
152,1,1,467,0
153,1,1,468,0
154,1,1,469,0
155,1,4,473,0
