turns,balance,speed,y,shield
2,14956,3,3,0
3,14956,1,4,0
4,14956,1,5,0
5,14956,1,6,0
6,14558,4,10,0
7,14558,4,14,0
8,14558,4,18,0
9,14275,7,25,1
10,14275,7,32,0
11,14275,7,39,0
12,13840,10,49,1
13,13840,10,59,0
14,13840,1,60,0
15,13129,4,64,1
16,13129,1,65,0
17,13129,1,66,0
18,11913,4,70,1
19,11913,4,74,0
20,11913,4,78,0
21,11913,4,82,0
22,11066,7,89,1
23,10153,10,99,0
24,10153,10,109,0
25,10153,1,110,0
26,9140,4,114,1
27,9140,4,118,0
28,9140,4,122,0
29,7976,1,123,0
30,7976,1,124,0
31,7976,1,125,0
32,7702,4,129,0
33,7702,4,133,0
34,7702,4,137,0
35,7702,4,141,0
36,7702,4,145,0
37,7580,7,152,0
38,7580,7,159,0
39,7480,10,169,0
40,7480,1,170,0
41,7480,1,171,0
42,7326,4,175,1
43,7326,4,179,0
44,7326,4,183,0
45,7196,7,190,1
46,7196,7,197,0
47,7072,10,207,1
48,7072,1,208,0
49,7072,1,209,0
50,6960,4,213,1
51,6960,4,217,0
52,6960,1,218,0
53,6960,1,219,0
54,6856,4,223,1
55,6856,4,227,0
56,6753,7,234,1
57,6753,7,241,0
58,6753,1,242,0
59,6753,1,243,0
60,6753,1,244,0
61,6653,4,248,1
62,6653,7,255,0
63,6653,7,262,0
64,6653,7,269,0
65,6553,10,279,1
66,6553,10,289,0
67,6553,1,290,0
68,6453,4,294,1
69,6453,4,298,0
70,6453,1,299,0
71,6353,4,303,1
72,6353,1,304,0
73,6353,1,305,0
74,6353,1,306,0
75,6252,4,310,1
76,6252,1,311,0
77,6152,4,315,1
78,6152,4,319,0
79,6152,4,323,0
80,6152,4,327,0
81,6051,7,334,1
82,6051,7,341,0
83,6051,1,342,0
84,5950,4,346,1
85,5950,4,350,0
86,5950,1,351,0
87,5950,1,352,0
88,5850,4,356,1
89,5850,4,360,0
90,5749,7,367,1
91,5749,1,368,0
92,5749,1,369,0
93,5648,4,373,1
94,5648,4,377,0
95,5648,4,381,0
96,5648,1,382,0
97,5548,4,386,1
98,5548,7,393,0
99,5548,7,400,0
100,5548,1,401,0
101,5548,1,402,0
102,5548,1,403,0
103,5448,4,407,1
104,5448,4,411,0
105,5347,7,418,1
106,5347,1,419,0
107,5347,1,420,0
108,5246,4,424,1
109,5246,4,428,0
110,5246,4,432,0
111,5145,7,439,1
112,5145,1,440,0
113,5045,4,444,1
114,5045,4,448,0
115,5045,1,449,0
116,4945,4,453,1
117,4945,4,457,0
118,4945,1,458,0
119,4845,4,462,1
120,4845,4,466,0
121,4845,1,467,0
122,4745,4,471,1
123,4745,4,475,0
124,4745,1,476,0
125,4745,1,477,0
126,4745,1,478,0
127,4645,4,482,1
128,4645,4,486,0
129,4544,7,493,1
130,4544,1,494,0
131,4544,1,495,0
132,4544,1,496,0
133,4444,4,500,1
134,4444,7,507,0
135,4444,1,508,0
136,4444,1,509,0
137,4444,1,510,0
138,4343,4,514,1
139,4343,4,518,0
